Costo Total,Proveedor,Modelo,Nivel Servicio,z,Nivel Servicio Num,Costo Total Num
3549286,1,1,1,"1,64",1,3549286
"4207404,6",0,1,1,"1,64",1,4207404.6
3889452,1,1,1,"1,64",1,3889452
"4341417,2",0,1,1,"1,64",1,4341417.2
"8732096,5",2,1,1,"1,64",1,8732096.5
"9230938,5",2,1,1,"1,64",1,9230938.5
3844262,1,1,1,"1,64",1,3844262
"9509959,5",2,1,1,"1,64",1,9509959.5
3961105,1,1,1,"1,64",1,3961105
4027735,1,1,1,"1,64",1,4027735
"9886158,5",2,1,1,"1,64",1,9886158.5
"4441343,8",0,1,1,"1,64",1,4441343.8
4624572,0,1,1,"1,64",1,4624572
"9535304,5",2,1,1,"1,64",1,9535304.5
"4737536,8",0,1,1,"1,64",1,4737536.8
"9986930,5",2,1,1,"1,64",1,9986930.5
4059449,1,1,1,"1,64",1,4059449
4921730,0,1,1,"1,64",1,4921730
4307387,1,1,1,"1,64",1,4307387
10613543,2,1,1,"1,64",1,10613543
4750954,0,1,1,"1,64",1,4750954
"4929087,2",0,1,1,"1,64",1,4929087.2
4219192,1,1,1,"1,64",1,4219192
"10462676,5",2,1,1,"1,64",1,10462676.5
4510043,1,1,1,"1,64",1,4510043
10811126,2,1,1,"1,64",1,10811126
4596515,1,1,1,"1,64",1,4596515
4627387,1,1,1,"1,64",1,4627387
"11147571,5",2,1,1,"1,64",1,11147571.5
5502345,0,1,1,"1,64",1,5502345
"5154982,6",0,1,1,"1,64",1,5154982.6
"10921706,5",2,1,1,"1,64",1,10921706.5
"5203485,6",0,1,1,"1,64",1,5203485.6
4751604,1,1,1,"1,64",1,4751604
11512436,2,1,1,"1,64",1,11512436
"5491583,2",0,1,1,"1,64",1,5491583.2
4810084,1,1,1,"1,64",1,4810084
"11862586,5",2,1,1,"1,64",1,11862586.5
"11735141,5",2,1,1,"1,64",1,11735141.5
5626350,0,1,1,"1,64",1,5626350
4629055,1,1,1,"1,64",1,4629055
"5772238,2",0,1,1,"1,64",1,5772238.2
4923745,1,1,1,"1,64",1,4923745
12286482,2,1,1,"1,64",1,12286482
